"id","sex","y_birth","innvandringsgrunn"
"P000010569","0",2002,"FAMM"
"P000010579","0",2002,"FAMM"
"P000010582","1",2004,"UTD"
"P000010584","1",2003,"FAMM"
"P000010618","1",2009,"UTD"
"P000010634","0",2007,"FAMM"
"P000010647","0",2003,"FAMM"
"P000010662","0",2007,"FAMM"
"P000010722","0",2007,"FAMM"
"P000010733","0",2004,"UTD"
"P000010757","1",2007,"FAMM"
"P000010807","1",2007,"FAMM"
"P000010866","1",2001,"UTD"
"P000010878","1",2002,"UTD"
"P000010882","0",2008,"FAMM"
"P000010920","0",2007,"UTD"
"P000010936","1",2008,"FAMM"
"P000010960","0",2005,"FAMM"
"P000010961","1",2005,"FAMM"
"P000010984","1",2000,"UTD"
"P000011013","0",2000,"FAMM"
"P000011041","0",2002,"UTD"
"P000011052","0",2002,"FAMM"
"P000011177","1",2004,"UTD"
"P000011226","0",2004,"UTD"
"P000011270","0",2002,"UTD"
"P000011336","0",2007,"FAMM"
"P000011341","0",2003,"FAMM"
"P000011351","1",2013,"UKJ"
"P000011355","1",2000,"UTD"
"P000011426","1",2009,"UTD"
"P000011432","0",2000,"UTD"
"P000011448","0",2004,"FAMM"
"P000011503","0",2000,"FAMM"
"P000011537","1",2003,"FAMM"
"P000011541","1",2005,"UTD"
"P000011664","0",2003,"FAMM"
"P000011677","1",2009,"UTD"
"P000011681","0",2003,"UTD"
"P000011747","0",2001,"UTD"
"P000011803","1",2015,"UKJ"
"P000011809","1",2003,"UTD"
"P000011814","1",2007,"FAMM"
"P000011926","0",2007,"UTD"
"P000012096","1",2009,"UTD"
"P000012120","0",2006,"UTD"
"P000012141","1",2009,"FAMM"
"P000012142","0",2008,"UTD"
"P000012167","1",2001,"UTD"
"P000012186","0",2004,"FAMM"
"P000012190","1",2000,"UTD"
"P000012206","1",2006,"UTD"
"P000012230","1",2002,"UTD"
"P000012283","1",2006,"UTD"
"P000012323","1",2008,"UTD"
"P000012347","0",2008,"UTD"
"P000012366","1",2000,"FAMM"
"P000012390","0",2002,"UTD"
"P000012396","1",2002,"UTD"
"P000012399","1",2004,"FAMM"
"P000012498","0",2005,"FAMM"
"P000012508","1",2007,"FAMM"
"P000012532","1",2007,"UTD"
"P000012534","1",2009,"FAMM"
"P000012536","1",2001,"FAMM"
"P000012551","1",2003,"UTD"
"P000012594","0",2005,"UTD"
"P000012617","0",2004,"UTD"
"P000012636","0",2009,"UTD"
"P000012664","0",2009,"UTD"
"P000012730","1",2007,"UTD"
"P000012805","1",2007,"UTD"
"P000012880","1",2010,"NRD"
"P000012902","1",2004,"FAMM"
"P000012938","1",2002,"UTD"
"P000012958","1",2004,"UTD"
"P000012962","1",2008,"FAMM"
"P000012974","1",2018,"ARB"
"P000012996","0",2004,"FAMM"
"P000012997","0",2000,"FAMM"
"P000013060","1",2005,"FAMM"
"P000013064","0",2007,"FAMM"
"P000013140","0",2004,"FAMM"
"P000013186","1",2005,"FAMM"
"P000013211","0",2007,"UTD"
"P000013323","0",2004,"FAMM"
"P000013331","0",2008,"FAMM"
"P000013355","0",2002,"FAMM"
"P000013388","1",2002,"FAMM"
"P000013483","0",2003,"FAMM"
"P000013518","1",2002,"FAMM"
"P000013527","0",2003,"UTD"
"P000013529","1",2002,"FAMM"
"P000013585","1",2004,"UTD"
"P000013708","0",2012,"NRD"
"P000013770","0",2009,"UTD"
"P000013835","1",2004,"UTD"
"P000013837","0",2005,"FAMM"
"P000013856","1",2002,"FAMM"
"P000013863","0",2008,"UTD"
"P000013892","0",2003,"FAMM"
"P000013933","1",2018,"UKJ"
"P000013997","0",2006,"UTD"
"P000014028","1",2003,"UTD"
"P000014059","0",2005,"FAMM"
"P000014208","1",2003,"UTD"
"P000014254","1",2003,"UTD"
"P000014280","0",2003,"UTD"
"P000014300","1",2004,"UTD"
"P000014352","1",2005,"FAMM"
"P000014358","0",2001,"UTD"
"P000014391","0",2002,"UTD"
"P000014415","1",2002,"FAMM"
"P000014449","0",2003,"FAMM"
"P000014497","0",2005,"FAMM"
"P000014510","0",2002,"UTD"
"P000014549","0",2000,"FAMM"
"P000014554","1",2005,"UTD"
"P000014586","0",2002,"FAMM"
"P000014632","0",2005,"FAMM"
"P000014724","1",2001,"UTD"
"P000014748","0",2000,"FAMM"
"P000014779","0",2003,"FAMM"
"P000014811","0",2005,"FAMM"
"P000014825","1",2004,"FAMM"
"P000014840","0",2008,"UTD"
"P000014845","0",2006,"FAMM"
"P000014872","1",2001,"UTD"
"P000014920","0",2002,"UTD"
"P000014943","1",2002,"UTD"
"P000014946","0",2002,"FAMM"
"P000014986","1",2000,"FAMM"
"P000014992","1",2002,"FAMM"
"P000015003","1",2007,"UTD"
"P000015132","1",2006,"UTD"
"P000015189","0",2002,"UTD"
"P000015268","1",2001,"UTD"
"P000015321","0",2002,"FAMM"
"P000015367","0",2009,"UTD"
"P000015425","0",2001,"FAMM"
"P000015473","0",2003,"UTD"
"P000015519","1",2009,"FAMM"
"P000015521","0",2007,"UTD"
"P000015567","1",2004,"FAMM"
"P000015573","0",2004,"UTD"
"P000015689","0",2002,"UTD"
"P000015698","1",2006,"FAMM"
"P000015705","0",2018,"ARB"
"P000015767","0",2005,"FAMM"
"P000015835","0",2001,"FAMM"
"P000015846","1",2001,"FAMM"
"P000015922","1",2004,"FAMM"
"P000015962","1",2007,"UTD"
"P000016008","0",2006,"FAMM"
"P000016016","1",2003,"FAMM"
"P000016060","1",2002,"FAMM"
"P000016069","1",2003,"FAMM"
"P000016125","1",2001,"UTD"
"P000016180","0",2004,"UTD"
"P000016194","0",2003,"UTD"
"P000016237","0",2006,"FAMM"
"P000016293","0",2009,"FAMM"
"P000016302","1",2005,"FAMM"
"P000016310","0",2002,"UTD"
"P000016410","0",2000,"UTD"
"P000016422","0",2008,"FAMM"
"P000016492","0",2006,"UTD"
"P000016506","0",2005,"FAMM"
"P000016515","1",2004,"UTD"
"P000016526","1",2004,"FAMM"
"P000016556","1",2007,"UTD"
"P000016560","1",2002,"UTD"
"P000016568","0",2001,"UTD"
"P000016584","0",2000,"FAMM"
"P000016600","1",2008,"FAMM"
"P000016691","1",2006,"UTD"
"P000016693","1",2005,"UTD"
"P000016719","1",2006,"FAMM"
"P000016863","1",2001,"UTD"
"P000017089","1",2004,"FAMM"
"P000017100","0",2005,"FAMM"
"P000017111","1",2007,"FAMM"
"P000017144","1",2002,"UTD"
"P000017153","1",2001,"FAMM"
"P000017194","0",2006,"UTD"
"P000017208","0",2005,"UTD"
"P000017213","0",2009,"UTD"
"P000017232","1",2007,"UTD"
"P000017244","1",2003,"FAMM"
"P000017344","1",2009,"UTD"
"P000017348","0",2003,"FAMM"
"P000017351","0",2006,"UTD"
"P000017352","0",2005,"UTD"
"P000017369","0",2000,"FAMM"
"P000017410","1",2007,"FAMM"
"P000017464","1",2006,"FAMM"
"P000017472","1",2000,"FAMM"
"P000017484","1",2008,"UTD"
"P000017517","1",2001,"UTD"
"P000017526","0",2003,"FAMM"
"P000017557","0",2009,"UTD"
"P000017611","1",2003,"UTD"
"P000017619","0",2004,"FAMM"
"P000017622","1",2005,"UTD"
"P000017646","1",2004,"UTD"
"P000017714","1",2008,"FAMM"
"P000017738","1",2002,"FAMM"
"P000017760","1",2005,"FAMM"
"P000017766","1",2000,"FAMM"
"P000017788","0",2000,"UTD"
"P000017838","0",2004,"FAMM"
"P000017860","0",2007,"FAMM"
"P000017861","0",2009,"FAMM"
"P000017878","0",2004,"UTD"
"P000017891","1",2001,"FAMM"
"P000017919","0",2007,"UTD"
"P000017929","1",2008,"UTD"
"P000017941","0",2004,"FAMM"
"P000017965","0",2007,"FAMM"
"P000018038","1",2007,"UTD"
"P000018056","0",2007,"UTD"
"P000018124","0",2000,"UTD"
"P000018166","0",2007,"UTD"
"P000018193","1",2006,"UTD"
"P000018209","0",2006,"UTD"
"P000018243","1",2002,"UTD"
"P000018245","1",2002,"FAMM"
"P000018316","1",2002,"FAMM"
"P000018337","1",2006,"UTD"
"P000018474","1",2000,"FAMM"
"P000018481","0",2000,"UTD"
"P000018537","1",2007,"FAMM"
"P000018581","1",2004,"UTD"
"P000018633","1",2005,"UTD"
"P000018696","0",2007,"FAMM"
"P000018724","1",2005,"UTD"
"P000018737","1",2009,"UTD"
"P000018750","0",2007,"FAMM"
"P000018751","1",2009,"UTD"
"P000018785","1",2007,"FAMM"
"P000018822","1",2009,"FAMM"
"P000018841","0",2004,"FAMM"
"P000018859","0",2001,"FAMM"
"P000018876","1",2006,"UTD"
"P000018891","1",2003,"FAMM"
"P000018972","0",2006,"UTD"
"P000018991","0",2004,"FAMM"
"P000019113","0",2005,"UTD"
"P000019119","1",2003,"UTD"
"P000019177","1",2005,"UTD"
"P000019242","1",2004,"FAMM"
"P000019248","0",2002,"FAMM"
"P000019253","0",2003,"UTD"
"P000019257","0",2000,"UTD"
"P000019264","1",2001,"FAMM"
"P000019398","0",2004,"FAMM"
"P000019504","0",2004,"UTD"
"P000019516","1",2000,"FAMM"
"P000019558","0",2001,"FAMM"
"P000019587","0",2006,"UTD"
"P000019590","0",2000,"FAMM"
"P000019605","0",2003,"FAMM"
"P000019606","1",2001,"FAMM"
"P000019631","0",2003,"FAMM"
"P000019698","1",2007,"FAMM"
"P000019786","0",2005,"FAMM"
"P000019797","0",2008,"FAMM"
"P000019798","0",2003,"UTD"
"P000019815","1",2009,"FAMM"
"P000019883","0",2002,"UTD"
"P000019893","0",2012,"UKJ"
"P000019910","0",2005,"UTD"
"P000020049","1",2006,"UTD"
"P000020081","0",2005,"UTD"
"P000020107","0",2002,"UTD"
"P000020115","0",2005,"UTD"
"P000020135","0",2000,"UTD"
"P000020140","1",2001,"FAMM"
"P000020153","1",2000,"UTD"
"P000020173","1",2001,"FAMM"
"P000020180","0",2009,"FAMM"
"P000020213","0",2001,"FAMM"
"P000020230","0",2000,"UTD"
"P000020233","1",2006,"FAMM"
"P000020269","0",2007,"FAMM"
"P000020299","1",2004,"UTD"
"P000020302","1",2008,"UTD"
"P000020370","1",2001,"FAMM"
"P000020385","1",2001,"FAMM"
"P000020392","1",2001,"UTD"
"P000020400","0",2004,"UTD"
"P000020457","0",2007,"UTD"
"P000020465","0",2000,"UTD"
"P000020497","0",2001,"UTD"
"P000020535","1",2000,"FAMM"
"P000020749","0",2006,"FAMM"
"P000020769","1",2004,"UTD"
"P000020773","1",2005,"UTD"
"P000020839","1",2005,"FAMM"
"P000020849","0",2009,"UTD"
"P000020862","0",2001,"UTD"
"P000020885","0",2000,"FAMM"
"P000020910","0",2001,"UTD"
"P000021016","0",2006,"FAMM"
"P000021041","1",2005,"FAMM"
"P000021053","0",2005,"FAMM"
"P000021106","1",2000,"UTD"
"P000021123","1",2004,"UTD"
"P000021178","1",2004,"UTD"
"P000021185","1",2005,"FAMM"
"P000021243","0",2005,"UTD"
"P000021302","1",2008,"UTD"
"P000021305","0",2004,"UTD"
"P000021400","0",2009,"UTD"
"P000021403","1",2003,"FAMM"
"P000021449","0",2008,"UTD"
"P000021466","1",2009,"FAMM"
"P000021542","0",2003,"UTD"
"P000021558","0",2008,"UTD"
"P000021573","0",2008,"UTD"
"P000021650","0",2003,"UTD"
"P000021668","0",2009,"FAMM"
"P000021708","0",2003,"UTD"
"P000021742","0",2000,"FAMM"
"P000021783","0",2009,"FAMM"
"P000021786","1",2004,"UTD"
"P000021817","1",2001,"UTD"
"P000021853","0",2009,"FAMM"
"P000021859","0",2003,"UTD"
"P000021860","1",2003,"FAMM"
"P000021873","0",2002,"FAMM"
"P000021881","0",2003,"FAMM"
"P000021967","0",2006,"FAMM"
"P000021976","0",2004,"FAMM"
"P000022078","0",2006,"FAMM"
"P000022085","0",2006,"UTD"
"P000022093","0",2003,"UTD"
"P000022120","1",2000,"UTD"
"P000022133","0",2005,"FAMM"
"P000022188","1",2008,"UTD"
"P000022205","1",2001,"UTD"
"P000022208","1",2000,"UTD"
"P000022408","0",2001,"FAMM"
"P000022433","1",2009,"UTD"
"P000022446","1",2000,"FAMM"
"P000022512","1",2004,"UTD"
"P000022548","1",2003,"FAMM"
"P000022564","1",2001,"FAMM"
"P000022567","0",2007,"UTD"
"P000022636","1",2005,"UTD"
"P000022649","1",2004,"FAMM"
"P000022658","0",2002,"FAMM"
"P000022660","0",2002,"UTD"
"P000022720","1",2003,"FAMM"
"P000022731","0",2000,"UTD"
"P000022759","0",2002,"FAMM"
"P000022790","0",2001,"FAMM"
"P000022898","1",2003,"UTD"
"P000022903","0",2000,"UTD"
"P000022906","1",2003,"FAMM"
"P000022910","0",2001,"FAMM"
"P000022934","0",2008,"FAMM"
"P000022956","0",2006,"FAMM"
"P000022969","1",2007,"FAMM"
"P000023000","0",2003,"UTD"
"P000023023","0",2006,"UTD"
"P000023028","0",2002,"FAMM"
"P000023042","1",2003,"FAMM"
"P000023058","0",2009,"FAMM"
"P000023109","1",2003,"FAMM"
"P000023141","0",2006,"FAMM"
"P000023150","1",2004,"FAMM"
"P000023177","0",2009,"FAMM"
"P000023215","0",2006,"FAMM"
"P000023296","0",2003,"UTD"
"P000023301","1",2000,"UTD"
"P000023308","1",2008,"FAMM"
"P000023390","1",2006,"FAMM"
"P000023413","0",2006,"UTD"
"P000023419","1",2005,"UTD"
"P000023444","1",2008,"FAMM"
"P000023458","1",2007,"FAMM"
"P000023471","0",2009,"UTD"
"P000023503","0",2001,"UTD"
"P000023537","1",2004,"UTD"
"P000023607","0",2014,"ARB"
"P000023614","0",2006,"UTD"
"P000023712","0",2005,"FAMM"
"P000023722","1",2000,"UTD"
"P000023753","0",2002,"FAMM"
"P000023780","1",2006,"FAMM"
"P000023785","1",2002,"FAMM"
"P000023862","0",2006,"FAMM"
"P000023889","1",2005,"FAMM"
"P000023924","1",2017,"UKJ"
"P000023996","0",2000,"FAMM"
"P000024000","0",2004,"UTD"
"P000024009","0",2005,"FAMM"
"P000024088","1",2003,"FAMM"
"P000024090","0",2008,"UTD"
"P000024251","0",2007,"FAMM"
"P000024260","0",2004,"FAMM"
"P000024306","1",2008,"FAMM"
"P000024318","1",2005,"FAMM"
"P000024328","0",2007,"UTD"
"P000024378","1",2004,"FAMM"
"P000024384","0",2006,"UTD"
"P000024388","0",2009,"FAMM"
"P000024463","0",2000,"UTD"
"P000024480","1",2000,"UTD"
"P000024534","1",2008,"UTD"
"P000024592","0",2003,"UTD"
"P000024684","0",2009,"UTD"
"P000024712","0",2004,"UTD"
"P000024746","0",2005,"FAMM"
"P000024793","0",2001,"FAMM"
"P000024834","0",2000,"UTD"
"P000024836","0",2009,"UTD"
"P000024881","1",2006,"FAMM"
"P000024918","0",2002,"FAMM"
"P000024925","0",2003,"FAMM"
"P000024938","1",2008,"UTD"
"P000024980","0",2006,"UTD"
"P000025097","0",2013,"ARB"
"P000025139","0",2003,"FAMM"
"P000025159","1",2008,"UTD"
"P000025254","1",2005,"UTD"
"P000025267","0",2009,"UTD"
"P000025312","1",2000,"FAMM"
"P000025315","0",2004,"FAMM"
"P000025347","1",2000,"FAMM"
"P000025356","0",2009,"FAMM"
"P000025388","0",2003,"FAMM"
"P000025417","0",2001,"UTD"
"P000025432","0",2009,"UTD"
"P000025498","0",2006,"FAMM"
"P000025535","1",2000,"FAMM"
"P000025542","1",2008,"UTD"
"P000025571","1",2002,"FAMM"
"P000025582","1",2005,"UTD"
"P000025791","0",2003,"FAMM"
"P000025810","1",2006,"FAMM"
"P000025833","1",2001,"FAMM"
"P000025839","0",2002,"FAMM"
"P000025840","1",2007,"FAMM"
"P000025851","1",2012,"ARB"
"P000025897","1",2001,"UTD"
"P000025900","0",2004,"FAMM"
"P000025922","1",2008,"FAMM"
"P000025943","0",2000,"UTD"
"P000025962","0",2003,"UTD"
"P000025995","0",2000,"FAMM"
"P000026024","0",2004,"UTD"
"P000026046","1",2004,"UTD"
"P000026050","1",2007,"UTD"
"P000026065","0",2008,"FAMM"
"P000026067","1",2000,"UTD"
"P000026070","1",2009,"FAMM"
"P000026076","1",2001,"FAMM"
"P000026131","0",2000,"UTD"
"P000026183","1",2006,"FAMM"
"P000026221","0",2001,"FAMM"
"P000026260","1",2009,"FAMM"
"P000026297","0",2001,"UTD"
"P000026318","1",2002,"FAMM"
"P000026327","0",2001,"UTD"
"P000026329","0",2007,"UTD"
"P000026331","1",2000,"FAMM"
"P000026358","1",2002,"FAMM"
"P000026445","1",2001,"FAMM"
"P000026477","1",2007,"UTD"
"P000026508","0",2007,"UTD"
"P000026521","1",2000,"UTD"
"P000026528","0",2003,"UTD"
"P000026561","1",2009,"UTD"
"P000026565","1",2005,"UTD"
"P000026580","0",2008,"FAMM"
"P000026591","0",2008,"UTD"
"P000026686","0",2000,"UTD"
"P000026698","1",2005,"UTD"
"P000026703","0",2005,"FAMM"
"P000026705","0",2005,"FAMM"
"P000026727","1",2004,"UTD"
"P000026732","0",2001,"UTD"
"P000026769","1",2009,"FAMM"
